2020-12-27 21:17:41|	Start init-ing Frame
2020-12-27 21:17:43|	Finish init-ing Frame
2020-12-27 21:17:50|	Click in work area. Current component: null
2020-12-27 21:17:50|	Repaint all
2020-12-27 21:17:51|	Click in work area. Current component: null
2020-12-27 21:17:51|	Repaint all
2020-12-27 21:17:51|	Click in work area. Current component: null
2020-12-27 21:17:51|	Repaint all
2020-12-27 21:17:51|	Click in work area. Current component: null
2020-12-27 21:17:51|	Repaint all
2020-12-27 21:17:52|	Click in work area. Current component: null
2020-12-27 21:17:52|	Repaint all
2020-12-27 21:17:54|	Click load
2020-12-27 21:17:58|	Repaint all
2020-12-27 21:17:59|	Click in work area. Current component: null
2020-12-27 21:17:59|	Choose 2th component: 0::0::255::O::Atom::2::208::187::16::16::2::1::1
2020-12-27 21:17:59|	Repaint all
2020-12-27 21:18:00|	Click in work area. Current component: null
2020-12-27 21:18:00|	Choose 3th component: 0::0::255::O::Atom::2::210::134::16::16::2::1::4
2020-12-27 21:18:00|	Repaint all
2020-12-27 21:18:00|	Click in work area. Current component: null
2020-12-27 21:18:00|	Repaint all
2020-12-27 21:18:02|	Click in work area. Current component: null
2020-12-27 21:18:02|	Choose 0th component: 255::0::0::C::Atom::4::123::162::12::12::4::7::5::6::1
2020-12-27 21:18:02|	Repaint all
2020-12-27 21:18:03|	Click in work area. Current component: null
2020-12-27 21:18:03|	Choose 7th component: 0::255::255::H::Atom::1::121::189::10::10::1::0
2020-12-27 21:18:03|	Repaint all
